Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle,Label
"{'y': 0.013253699, 'x': 0.5540577, 'confidence': 0.20676762}","{'y': 0.004320133, 'x': 0.49889407, 'confidence': 0.2033047}","{'y': -0.0033893376, 'x': 0.61903536, 'confidence': 0.1415925}","{'y': 0.04191816, 'x': 0.4289717, 'confidence': 0.43196127}","{'y': 0.0579877, 'x': 0.70138097, 'confidence': 0.3558667}","{'y': 0.3034893, 'x': 0.23650217, 'confidence': 0.58067703}","{'y': 0.36173913, 'x': 0.8685471, 'confidence': 0.61515236}","{'y': 0.6983464, 'x': 0.08997488, 'confidence': 0.5752487}","{'y': 0.7406966, 'x': 0.9232005, 'confidence': 0.6766619}","{'y': 0.989282, 'x': 0.086244605, 'confidence': 0.16546085}","{'y': 0.9820086, 'x': 0.93545336, 'confidence': 0.20214392}","{'y': 0.943962, 'x': 0.35735217, 'confidence': 0.46006152}","{'y': 0.92636454, 'x': 0.7273684, 'confidence': 0.48831928}","{'y': 0.9308174, 'x': 0.2289956, 'confidence': 0.029103344}","{'y': 0.92391706, 'x': 0.81590176, 'confidence': 0.028366175}","{'y': 0.9863758, 'x': 0.348656, 'confidence': 0.007393906}","{'y': 0.99356765, 'x': 0.92992824, 'confidence': 0.038838696}",0
"{'y': 0.010155369, 'x': 0.28797677, 'confidence': 0.13037343}","{'y': 0.012785438, 'x': 0.18935376, 'confidence': 0.1141932}","{'y': -0.0039315145, 'x': 0.34210163, 'confidence': 0.12288498}","{'y': 0.029752633, 'x': 0.15457216, 'confidence': 0.2935743}","{'y': 0.020037908, 'x': 0.47494674, 'confidence': 0.3165058}","{'y': 0.39921516, 'x': 0.12873405, 'confidence': 0.38860008}","{'y': 0.27929822, 'x': 0.72378474, 'confidence': 0.6043431}","{'y': 0.7819804, 'x': 0.13843809, 'confidence': 0.4983411}","{'y': 0.6295278, 'x': 0.9320759, 'confidence': 0.43488774}","{'y': 0.9749466, 'x': 0.17734526, 'confidence': 0.11772348}","{'y': 0.93354267, 'x': 0.97032744, 'confidence': 0.21770205}","{'y': 0.9732026, 'x': 0.37249246, 'confidence': 0.3852514}","{'y': 0.93186605, 'x': 0.75439596, 'confidence': 0.20548432}","{'y': 0.97223157, 'x': 0.3308109, 'confidence': 0.03744338}","{'y': 0.9003287, 'x': 0.81527364, 'confidence': 0.038849395}","{'y': 0.9099042, 'x': 0.41608527, 'confidence': 0.045955077}","{'y': 0.976891, 'x': 0.9748545, 'confidence': 0.076972075}",0
"{'y': 0.00797895, 'x': 0.5839126, 'confidence': 0.16125499}","{'y': -0.00017737997, 'x': 0.50553614, 'confidence': 0.1603898}","{'y': -0.004332123, 'x': 0.6555294, 'confidence': 0.15636316}","{'y': 0.03219047, 'x': 0.4451248, 'confidence': 0.46987697}","{'y': 0.044771735, 'x': 0.72520906, 'confidence': 0.41964775}","{'y': 0.29342884, 'x': 0.24300878, 'confidence': 0.71857315}","{'y': 0.38054043, 'x': 0.87743366, 'confidence': 0.6148584}","{'y': 0.6794825, 'x': 0.08648927, 'confidence': 0.6750872}","{'y': 0.751833, 'x': 0.9130653, 'confidence': 0.5823911}","{'y': 0.97750485, 'x': 0.048477903, 'confidence': 0.2435712}","{'y': 0.98239326, 'x': 0.89698327, 'confidence': 0.205059}","{'y': 0.96842456, 'x': 0.3363398, 'confidence': 0.45204875}","{'y': 0.95082563, 'x': 0.70563996, 'confidence': 0.49946195}","{'y': 0.95046884, 'x': 0.25976494, 'confidence': 0.033108134}","{'y': 0.97464836, 'x': 0.8746087, 'confidence': 0.030539282}","{'y': 0.99154997, 'x': 0.3303076, 'confidence': 0.009979867}","{'y': 0.993212, 'x': 0.89675987, 'confidence': 0.03877136}",0
"{'y': 0.0077902474, 'x': 0.4005934, 'confidence': 0.1708736}","{'y': 0.01213937, 'x': 0.31108433, 'confidence': 0.19887397}","{'y': -0.010358278, 'x': 0.4851067, 'confidence': 0.17044157}","{'y': 0.047629654, 'x': 0.26898322, 'confidence': 0.4569165}","{'y': 0.036993235, 'x': 0.57532775, 'confidence': 0.4013413}","{'y': 0.37886348, 'x': 0.12740125, 'confidence': 0.6783633}","{'y': 0.30570105, 'x': 0.7662367, 'confidence': 0.8407646}","{'y': 0.7566293, 'x': 0.08818905, 'confidence': 0.7052479}","{'y': 0.67739016, 'x': 0.90454495, 'confidence': 0.77495486}","{'y': 0.9936594, 'x': 0.08504992, 'confidence': 0.17358223}","{'y': 0.9934524, 'x': 0.9283248, 'confidence': 0.33794618}","{'y': 0.95581913, 'x': 0.28914323, 'confidence': 0.5005032}","{'y': 0.9411062, 'x': 0.64750934, 'confidence': 0.38521156}","{'y': 0.9420936, 'x': 0.24408717, 'confidence': 0.03357126}","{'y': 0.8953386, 'x': 0.7102688, 'confidence': 0.023767807}","{'y': 0.9936669, 'x': 0.25843686, 'confidence': 0.0140765505}","{'y': 0.9878847, 'x': 0.67565227, 'confidence': 0.021432659}",0
"{'y': 0.006986564, 'x': 0.44357547, 'confidence': 0.17910258}","{'y': 0.0018284068, 'x': 0.371484, 'confidence': 0.14745836}","{'y': -0.011257074, 'x': 0.51248, 'confidence': 0.15596202}","{'y': 0.03264969, 'x': 0.3071372, 'confidence': 0.4830702}","{'y': 0.027427984, 'x': 0.61005515, 'confidence': 0.49676633}","{'y': 0.36203954, 'x': 0.14176793, 'confidence': 0.6185482}","{'y': 0.3196907, 'x': 0.77289724, 'confidence': 0.75904846}","{'y': 0.73787653, 'x': 0.060220655, 'confidence': 0.5728109}","{'y': 0.6986998, 'x': 0.87886804, 'confidence': 0.8146106}","{'y': 0.9618682, 'x': 0.013129431, 'confidence': 0.1076069}","{'y': 0.99234617, 'x': 0.8720597, 'confidence': 0.17800173}","{'y': 0.97396725, 'x': 0.26841286, 'confidence': 0.37972346}","{'y': 0.94601667, 'x': 0.64493287, 'confidence': 0.35998392}","{'y': 0.88758886, 'x': 0.21532045, 'confidence': 0.0574343}","{'y': 0.9158948, 'x': 0.70539147, 'confidence': 0.028214848}","{'y': 0.9883726, 'x': 0.025299821, 'confidence': 0.06561666}","{'y': 0.9868733, 'x': 0.6809587, 'confidence': 0.026802033}",0
"{'y': 0.16374716, 'x': 0.67775553, 'confidence': 0.12334296}","{'y': 0.14277463, 'x': 0.6376351, 'confidence': 0.086089596}","{'y': 0.14912866, 'x': 0.7214591, 'confidence': 0.11105976}","{'y': 0.17099538, 'x': 0.5955637, 'confidence': 0.48876935}","{'y': 0.17003107, 'x': 0.7522427, 'confidence': 0.45235103}","{'y': 0.39020538, 'x': 0.5398929, 'confidence': 0.7260715}","{'y': 0.34541327, 'x': 0.7795642, 'confidence': 0.81121075}","{'y': 0.6635458, 'x': 0.42169628, 'confidence': 0.6964179}","{'y': 0.5317312, 'x': 0.95809597, 'confidence': 0.7122181}","{'y': 0.73343366, 'x': 0.5852319, 'confidence': 0.5748732}","{'y': 0.6418076, 'x': 0.80591595, 'confidence': 0.49673867}","{'y': 0.9294383, 'x': 0.6635731, 'confidence': 0.5276462}","{'y': 0.86747634, 'x': 0.80695283, 'confidence': 0.34933278}","{'y': 0.9782438, 'x': 0.6346558, 'confidence': 0.035618845}","{'y': 0.99323934, 'x': 0.9260888, 'confidence': 0.056895044}","{'y': 0.8259594, 'x': 0.6587561, 'confidence': 0.05936768}","{'y': 0.98335606, 'x': 0.8863969, 'confidence': 0.061319426}",0
"{'y': 0.18013848, 'x': 0.6939366, 'confidence': 0.24841419}","{'y': 0.15705952, 'x': 0.66086566, 'confidence': 0.26992467}","{'y': 0.16330008, 'x': 0.7228749, 'confidence': 0.24213873}","{'y': 0.18540762, 'x': 0.6132064, 'confidence': 0.45578238}","{'y': 0.19441862, 'x': 0.76169485, 'confidence': 0.6551821}","{'y': 0.38405222, 'x': 0.53744894, 'confidence': 0.6532926}","{'y': 0.3757225, 'x': 0.7934479, 'confidence': 0.77743083}","{'y': 0.6523623, 'x': 0.41435263, 'confidence': 0.5662149}","{'y': 0.58268666, 'x': 0.95422167, 'confidence': 0.77933705}","{'y': 0.7343236, 'x': 0.5762517, 'confidence': 0.42689613}","{'y': 0.6811495, 'x': 0.7920281, 'confidence': 0.52953804}","{'y': 0.85506576, 'x': 0.6342671, 'confidence': 0.42282125}","{'y': 0.84649134, 'x': 0.77708447, 'confidence': 0.5285875}","{'y': 0.98942286, 'x': 0.59856385, 'confidence': 0.09012614}","{'y': 0.98610693, 'x': 0.83936846, 'confidence': 0.070751384}","{'y': 0.84443843, 'x': 0.6547339, 'confidence': 0.08599527}","{'y': 0.8287216, 'x': 0.75379616, 'confidence': 0.06294878}",0
"{'y': 0.19201028, 'x': 0.69927233, 'confidence': 0.1626115}","{'y': 0.17032894, 'x': 0.6644616, 'confidence': 0.11458012}","{'y': 0.17841254, 'x': 0.7451349, 'confidence': 0.113348946}","{'y': 0.19315247, 'x': 0.6176382, 'confidence': 0.53930914}","{'y': 0.20883869, 'x': 0.77616554, 'confidence': 0.46722087}","{'y': 0.39324772, 'x': 0.544836, 'confidence': 0.67899454}","{'y': 0.40129602, 'x': 0.7971033, 'confidence': 0.80068}","{'y': 0.6440226, 'x': 0.40959907, 'confidence': 0.49553996}","{'y': 0.6133512, 'x': 0.9508881, 'confidence': 0.78018975}","{'y': 0.74057424, 'x': 0.5502384, 'confidence': 0.40344244}","{'y': 0.7020995, 'x': 0.7875387, 'confidence': 0.56518674}","{'y': 0.8763744, 'x': 0.61806923, 'confidence': 0.50828546}","{'y': 0.86998487, 'x': 0.7556968, 'confidence': 0.59054387}","{'y': 0.9869254, 'x': 0.5952877, 'confidence': 0.026402477}","{'y': 0.9806796, 'x': 0.81435853, 'confidence': 0.047973756}","{'y': 0.7745686, 'x': 0.5628758, 'confidence': 0.040924396}","{'y': 0.83178043, 'x': 0.75148135, 'confidence': 0.03401482}",0
"{'y': 0.22917593, 'x': 0.7217968, 'confidence': 0.13226016}","{'y': 0.20224649, 'x': 0.68297064, 'confidence': 0.10660082}","{'y': 0.21840096, 'x': 0.768599, 'confidence': 0.12485553}","{'y': 0.22095066, 'x': 0.62637734, 'confidence': 0.44770887}","{'y': 0.24773483, 'x': 0.79602, 'confidence': 0.37723416}","{'y': 0.4037005, 'x': 0.5399084, 'confidence': 0.72392046}","{'y': 0.43997952, 'x': 0.7951377, 'confidence': 0.75591326}","{'y': 0.6334396, 'x': 0.39504847, 'confidence': 0.6272112}","{'y': 0.6806065, 'x': 0.93157417, 'confidence': 0.58402336}","{'y': 0.743288, 'x': 0.52682537, 'confidence': 0.47630277}","{'y': 0.7437758, 'x': 0.77409846, 'confidence': 0.62813586}","{'y': 0.8920052, 'x': 0.5974883, 'confidence': 0.44493145}","{'y': 0.89037305, 'x': 0.7237262, 'confidence': 0.42991427}","{'y': 0.98481274, 'x': 0.5720335, 'confidence': 0.023020368}","{'y': 0.9794284, 'x': 0.7554931, 'confidence': 0.021811774}","{'y': 0.87107885, 'x': 0.6214302, 'confidence': 0.020197866}","{'y': 0.7719593, 'x': 0.7685514, 'confidence': 0.033934765}",0
"{'y': 0.17524655, 'x': 0.6765279, 'confidence': 0.16357118}","{'y': 0.15349586, 'x': 0.643051, 'confidence': 0.11817606}","{'y': 0.16261718, 'x': 0.7230599, 'confidence': 0.11415153}","{'y': 0.1756705, 'x': 0.6001924, 'confidence': 0.5206125}","{'y': 0.1862566, 'x': 0.7598664, 'confidence': 0.38078704}","{'y': 0.4019442, 'x': 0.5253499, 'confidence': 0.76621443}","{'y': 0.3712928, 'x': 0.78398925, 'confidence': 0.63760364}","{'y': 0.65041506, 'x': 0.4152638, 'confidence': 0.55399746}","{'y': 0.5628764, 'x': 0.95497024, 'confidence': 0.71271205}","{'y': 0.7471253, 'x': 0.56250983, 'confidence': 0.30734283}","{'y': 0.6761196, 'x': 0.7971502, 'confidence': 0.5067523}","{'y': 0.84159184, 'x': 0.63195413, 'confidence': 0.36912495}","{'y': 0.83096534, 'x': 0.77936053, 'confidence': 0.5107127}","{'y': 0.97704434, 'x': 0.6211853, 'confidence': 0.074518435}","{'y': 0.984469, 'x': 0.85413116, 'confidence': 0.06875023}","{'y': 0.853823, 'x': 0.6411241, 'confidence': 0.04078367}","{'y': 1.001613, 'x': 0.9231464, 'confidence': 0.031005643}",0
